surface	kind	classification	loops	pagination	notes
admin/sales/workflows.blade.php	blade	paginated	2	yes	"table/list surface"
admin/security/sessions.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/staff/index.blade.php	blade	form-or-reference-list	3	no	"non-table surface"
admin/supplier-finance/bill-show.blade.php	blade	reviewed-bounded-or-static	4	no	"table/list surface"
admin/supplier-finance/bills-index.blade.php	blade	form-or-reference-list	5	no	"non-table surface"
admin/supplier-finance/returns-index.blade.php	blade	form-or-reference-list	5	no	"non-table surface"
auth/login.blade.php	blade	not-a-list	0	no	"non-table surface"
components/catalog/product-scanner.blade.php	blade	not-a-list	0	no	"non-table surface"
components/errors/page.blade.php	blade	not-a-list	0	no	"non-table surface"
components/feedback/page-progress.blade.php	blade	not-a-list	0	no	"non-table surface"
components/feedback/toast-region.blade.php	blade	not-a-list	0	no	"non-table surface"
components/layout/app-shell.blade.php	blade	not-a-list	0	no	"non-table surface"
components/layout/app.blade.php	blade	not-a-list	0	no	"non-table surface"
components/navigation/mobile-drawer.blade.php	blade	form-or-reference-list	2	no	"non-table surface"
components/navigation/sidebar-link.blade.php	blade	not-a-list	0	no	"non-table surface"
components/navigation/sidebar.blade.php	blade	form-or-reference-list	3	no	"non-table surface"
components/navigation/topbar.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/button.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/card.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/drawer.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/icon.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/input.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/modal.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/searchable-select.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/skeleton.blade.php	blade	not-a-list	0	no	"non-table surface"
components/ui/status-badge.blade.php	blade	not-a-list	0	no	"non-table surface"
documents/operations/report.blade.php	blade	reviewed-bounded-or-static	4	no	"table/list surface"
documents/product-barcode-label.blade.php	blade	not-a-list	0	no	"non-table surface"
documents/sale-a4.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
documents/sale-thermal.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
emails/end-of-day-digest.blade.php	blade	reviewed-bounded-or-static	5	no	"table/list surface"
errors/401.blade.php	blade	not-a-list	0	no	"non-table surface"
errors/403.blade.php	blade	not-a-list	0	no	"non-table surface"
errors/404.blade.php	blade	not-a-list	0	no	"non-table surface"
errors/419.blade.php	blade	not-a-list	0	no	"non-table surface"
errors/429.blade.php	blade	not-a-list	0	no	"non-table surface"
errors/500.blade.php	blade	not-a-list	0	no	"non-table surface"
errors/503.blade.php	blade	not-a-list	0	no	"non-table surface"
profile/show.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
public/sale-verification.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
reports/exports/generic-table.blade.php	blade	reviewed-bounded-or-static	3	no	"table/list surface"
staff/commercial/sale-return.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
staff/dashboard.blade.php	blade	reviewed-bounded-or-static	2	no	"table/list surface"
ui/shell-preview.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
Http/Controllers/Admin/Accounting/AccountingReportController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Accounting/BatchJournalEntryController.php	controller	bounded-reference-or-review	2	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Accounting/ChartOfAccountsController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Accounting/EnterpriseAccountingController.php	controller	bounded-reference-or-review	6	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Accounting/JournalEntryController.php	controller	paginated-primary-list	4	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Accounting/OpeningBalanceController.php	controller	bounded-reference-or-review	2	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/AccountingOperations/FixedAssetController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/AccountingOperations/PurchaseReturnController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/AccountingOperations/StandaloneReceiptController.php	controller	paginated-primary-list	2	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Activity/ProductActivityController.php	controller	bounded-reference-or-review	2	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Activity/SystemActivityController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/BranchController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Catalog/ClassificationController.php	controller	paginated-primary-list	0	2	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Catalog/ProductController.php	controller	paginated-primary-list	4	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Catalog/ProductPriceAdjustmentController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Catalog/SupplierController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Catalog/TaxRateController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Commercial/CustomerReceivableController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Commercial/PurchaseReceiptController.php	controller	paginated-primary-list	3	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Commercial/VoucherController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Customers/CustomerController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Governance/AdminChangeController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Hr/HrAdministrationController.php	controller	paginated-primary-list	7	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Imports/ProductImportController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Insights/LisaChatController.php	controller	paginated-primary-list	0	3	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Insights/LisaInsightController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Inventory/InventoryController.php	controller	paginated-primary-list	2	2	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Inventory/WarehouseController.php	controller	paginated-primary-list	5	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Operations/AdminDashboardController.php	controller	bounded-reference-or-review	5	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Operations/AlertRecipientController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Operations/BackupController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Operations/StaffPerformanceController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Payments/PaymentMethodController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Pos/PosWorkstationController.php	controller	paginated-primary-list	4	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Procurement/EnterpriseProcurementController.php	controller	paginated-primary-list	5	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Procurement/LowStockReportController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Procurement/PurchaseOrderController.php	controller	paginated-primary-list	4	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Reports/AuditLogController.php	controller	paginated-primary-list	1	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Reports/ReportExportController.php	controller	bounded-reference-or-review	2	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Reports/ReportsHubController.php	controller	paginated-primary-list	3	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Reports/UniversalExportController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/RoleController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Sales/SaleController.php	controller	paginated-primary-list	9	2	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Sales/SalesWorkflowController.php	controller	paginated-primary-list	2	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/Security/LiveSessionController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/SessionController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/StaffController.php	controller	paginated-primary-list	2	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/SupplierFinance/SupplierBalanceReportController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/SupplierFinance/SupplierBillController.php	controller	paginated-primary-list	5	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Admin/SupplierFinance/SupplierReturnController.php	controller	paginated-primary-list	4	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Api/V1/CustomerController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Api/V1/ProductController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Api/V1/ReportController.php	controller	bounded-reference-or-review	2	0	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Api/V1/SaleController.php	controller	paginated-primary-list	0	1	"get calls are reference/bounded only when primary list pagination exists"
Http/Controllers/Staff/StaffDashboardController.php	controller	bounded-reference-or-review	1	0	"get calls are reference/bounded only when primary list pagination exists"
